#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-433.768050973,8.33419431889,-425.433856654,334.123996751
20,-433.772056818,11.5747646495,-422.197292168,464.040851242
30,-433.934236863,4.43112811625,-429.503108747,177.647194158
40,-433.933401733,9.90173151052,-424.031670222,396.96771883
50,-433.996536842,6.28134889382,-427.715187948,251.823909677
60,-433.907683687,3.97873337013,-429.928950317,159.510355143
70,-433.786424799,13.5147672452,-420.271657554,541.816986062
80,-433.761864198,6.88248867975,-426.879375518,275.924047039
90,-433.754518549,8.80504314968,-424.949475399,353.000673631
100,-433.801973748,10.6977577773,-423.104215971,428.880998939
110,-433.954265771,2.93574386159,-431.018521909,117.696136536
120,-433.934699363,14.869505736,-419.065193627,596.129451286
130,-434.146408801,10.1098930774,-424.036515724,405.313069567
140,-434.242540027,4.38752780704,-429.85501222,175.899225607
150,-434.363728613,16.8721688503,-417.491559763,676.417692511
160,-434.212935548,4.35351711658,-429.859418431,174.535711943
170,-434.05766441,9.1001001843,-424.957564226,364.829727755
180,-434.129505622,8.08005065651,-426.049454966,323.935189894
190,-434.090431718,12.435909627,-421.654522091,498.564788487
200,-433.99083535,6.64224041621,-427.348594934,266.292316969
210,-433.944711387,4.69746817314,-429.247243214,188.324963466
220,-433.89001614,8.66954265914,-425.220473481,347.568359033
230,-433.91405879,4.29029679352,-429.623761997,172.001162566
240,-433.875438685,8.63444418551,-425.2409945,346.16123534
250,-433.979986422,1.72863630127,-432.251350121,69.3023041953
260,-433.98582085,10.0409774593,-423.944843391,402.550191612
270,-433.938373759,11.4301308579,-422.508242901,458.242375868
280,-434.390175669,4.4810160543,-429.909159614,179.647238387
290,-434.603104025,5.62594780269,-428.977156223,225.548396572
300,-434.953156919,10.3934101816,-424.559746738,416.679479367
310,-434.7784676,11.5349993672,-423.243468233,462.446631748
320,-434.651796069,5.39244322892,-429.25935284,216.187025999
330,-434.361160639,9.4977455559,-424.863415083,380.771623967
340,-434.364297889,16.4277399848,-417.936557905,658.600211524
350,-434.549772212,12.061416586,-422.488355626,483.551086283
360,-434.374103766,16.2635888256,-418.11051494,652.019270491
370,-434.618031876,5.17634263783,-429.441689239,207.523393928
380,-434.633108881,4.64286668826,-429.990242192,186.135949668
390,-434.578255138,12.0465617136,-422.531693424,482.955543492
400,-434.66052377,11.2868367097,-423.37368706,452.497607785
410,-434.49733115,12.7622570282,-421.735074122,511.648296484
420,-434.485081054,24.8806029269,-409.604478127,997.481720898
430,-434.502946285,1.91954771626,-432.583398569,76.9560836201
440,-435.220823472,9.95757176044,-425.263251712,399.206395632
450,-435.062591143,5.87810277735,-429.184488365,235.657475472
460,-434.65403606,7.30967285615,-427.344363203,293.050175721
470,-434.402787335,6.58842792222,-427.814359413,264.134934398
480,-434.300851302,3.14058527241,-431.16026603,125.908379767
490,-434.194966053,9.80752829166,-424.387437761,393.19104231
500,-434.124006107,6.61016849234,-427.513837615,265.006529888
510,-434.249325431,25.7789609788,-408.470364452,1033.49755774
520,-434.034916985,18.5755531765,-415.459363809,744.707626403
530,-434.015702176,12.8602976802,-421.155404496,515.578818529
540,-434.165211085,6.97268111025,-427.192529975,279.539928095
550,-434.25155053,7.26179496487,-426.989755565,291.130715749
560,-434.289501847,4.82070507193,-429.468796775,193.265621626
570,-433.987171766,3.70334361129,-430.283828155,148.46977661
580,-433.962312006,10.1989793718,-423.763332634,408.884604812
590,-434.15922103,5.00874861781,-429.150472412,200.804426063
600,-434.141351276,8.39833829334,-425.743012983,336.695575994
610,-434.654531797,11.6626321521,-422.991899645,467.563524223
620,-434.415322809,2.79571584062,-431.619606968,112.082309904
630,-434.023922491,10.6009496302,-423.422972861,424.999888926
640,-434.112869689,7.30676998198,-426.806099707,292.933797355
650,-434.121853078,9.92866576503,-424.193187313,398.047532957
660,-434.110939951,8.22894745784,-425.881992493,329.904572472
670,-434.111395417,6.8864231447,-427.224972272,276.08178264
680,-433.934202299,6.57229313374,-427.361909166,263.488078829
690,-433.959689274,7.11734279657,-426.842346477,285.339521788
700,-434.08923668,1.26365394049,-432.82558274,50.660818425
710,-434.034106787,16.6231983008,-417.410908486,666.436279567
720,-434.31714348,9.72607457498,-424.591068905,389.925502736
730,-434.259858019,12.895481544,-421.364376475,516.989365577
740,-434.250049567,18.6670091408,-415.583040426,748.37416346
750,-434.018951931,7.52251094453,-426.496440986,301.583011653
760,-433.935005077,4.36592275727,-429.569082319,175.033063227
770,-433.987456259,12.1175243024,-421.869931957,485.800486014
780,-433.974258454,11.909349465,-422.064908989,477.454603253
790,-433.820888149,4.10809433901,-429.71279381,164.69653179
800,-433.817102511,13.159819326,-420.657283185,527.586862209
810,-433.898170342,11.9589780165,-421.939192326,479.444248482
820,-433.995055787,3.92759820579,-430.067457581,157.460308692
830,-434.190086327,4.22755724015,-429.962529087,169.485887601
840,-434.078220389,11.85021988,-422.228000509,475.084054581
850,-434.123580094,6.47097639757,-427.652603697,259.426216154
860,-434.028533965,3.0627235662,-430.965810399,122.786846542
870,-434.159860199,15.0337624835,-419.126097715,602.714625434
880,-434.190078258,1.95198530764,-432.23809295,78.2565305817
890,-434.019955491,1.74009812723,-432.279857363,69.761817251
900,-433.980812893,14.6847415175,-419.296071375,588.7221175
910,-433.88914277,13.1152156539,-420.773927116,525.798668097
920,-433.967303766,12.3359278311,-421.631375935,494.556444553
930,-434.053246324,5.91732105614,-428.135925268,237.229765192
940,-433.839572443,5.2933262955,-428.546246147,212.213355039
950,-433.906169263,1.00764550668,-432.898523756,40.397251506
960,-433.827149148,4.14799159638,-429.679157551,166.296042262
970,-433.948956725,6.97029662314,-426.978660102,279.444332248
980,-433.824193507,4.18825986298,-429.635933645,167.910426768
990,-433.897556486,10.7458248399,-423.151731646,430.808042925
1000,-433.935513417,18.9207197926,-415.014793625,758.545610606
1010,-433.954490527,11.2425854049,-422.711905122,450.723540341
1020,-434.110445823,10.0145235873,-424.095922236,401.489636372
1030,-434.196536763,8.75086581312,-425.44567095,350.828664252
1040,-434.320667904,19.9774150877,-414.343252816,800.909304304
