#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-433.736474348,6.14100261094,-427.595471737,246.197323691
20,-433.758060357,5.75794401177,-428.000116345,230.840221942
30,-433.808613184,9.62725882589,-424.181354358,385.963906478
40,-433.892712569,14.2507477729,-419.641964797,571.322988209
50,-433.943364189,3.86659274896,-430.07677144,155.014554936
60,-434.111623253,19.3072759952,-414.804347258,774.042933854
70,-434.32596128,1.45221212366,-432.873749156,58.2202550505
80,-434.400143224,0.554170744391,-433.84597248,22.2171138462
90,-434.231102055,8.76456892852,-425.466533126,351.378032255
100,-434.050810008,5.40789266782,-428.64291734,216.806405399
110,-434.246652192,5.48679298025,-428.759859211,219.969577114
120,-434.158392305,11.7545681453,-422.40382416,471.249305995
130,-434.026930542,1.29645888274,-432.730471659,51.9759927533
140,-434.178357858,1.71413468128,-432.464223177,68.7209235548
150,-434.083631786,4.19806386689,-429.885567919,168.303476515
160,-434.171037802,5.11938175457,-429.051656047,205.239790109
170,-434.320282133,9.17642755111,-425.143854582,367.889748182
180,-434.448539503,11.6725730272,-422.775966476,467.962061239
190,-434.479373081,4.21890720559,-430.260465876,169.139101336
200,-434.450281786,22.0609049705,-412.389376815,884.437950286
210,-434.733469405,3.16406163664,-431.569407769,126.849564523
220,-435.142999107,3.47407609813,-431.668923009,139.278272921
230,-435.477912195,5.20914964838,-430.268762547,208.838651176
240,-436.29844501,21.258114888,-415.040330122,852.253503818
250,-437.001278088,3.37914103976,-433.622137048,135.472256416
260,-437.008130193,2.95064094004,-434.057489253,118.293371398
270,-436.477202991,7.09987986082,-429.37732313,284.639419815
280,-436.315312163,9.01396348165,-427.301348681,361.37644382
290,-436.180908525,2.19573598925,-433.985172536,88.0286751746
300,-436.210959567,3.80714901322,-432.403810554,152.63141173
310,-436.329957054,6.53217185861,-429.797785195,261.879587319
320,-436.312201309,7.65923225782,-428.652969052,307.064269935
330,-436.639853328,5.77613562543,-430.863717703,231.56953715
340,-436.037267826,6.45673500794,-429.580532818,258.85526834
350,-436.007617362,7.36940815142,-428.63820921,295.445007763
